pckg, tiempo_envio [ns], tiempo_recibido [ns], terminal_envio, terminal_recibido, latencia [ns], profunidad, drivers
0c535245,1075,1655,5,12,580,1,15
0d95e810,12105,12645,4,13,540,1,15
074d6096,23055,23685,6,7,630,1,15
0b05663e,34055,34605,2,11,550,1,15
06457edc,34535,34975,4,6,440,1,15
033d2aa7,34815,35335,5,3,520,1,15
0e284658,34285,35695,6,14,1410,1,15
0a784c5c,34755,36065,8,10,1310,1,15
0297b0d6,34115,36425,9,2,2310,1,15
03df78c1,34565,37155,12,3,2590,1,15
0af998de,34185,37515,13,10,3330,1,15
06ff7e50,34915,37875,14,6,2960,1,15
09de9f92,34615,38235,0,9,3620,1,15
06457edc,34535,38645,4,6,4110,1,15
033d2aa7,34815,39005,5,3,4190,1,15
0e284658,34285,39365,6,14,5080,1,15
0297b0d6,34115,39755,9,2,5640,1,15
03df78c1,34565,40145,12,3,5580,1,15
0af998de,34185,40505,13,10,6320,1,15
03b22808,135005,135385,8,3,380,1,15
09845aaa,135005,136105,10,9,1100,1,15
04ccc9da,135005,136465,10,4,1460,1,15
0d03e96a,135005,136825,10,13,1820,1,15
033b813b,135005,137185,11,3,2180,1,15
06c380d7,135005,137545,7,6,2540,1,15
0afdd6be,135005,138265,14,10,3260,1,15
078495c4,135005,138625,4,7,3620,1,15
0ce28bd9,135005,138985,9,12,3980,1,15
04b582d7,135005,139345,7,4,4340,1,15
00726650,135005,139705,0,0,4700,1,15
02f6263c,135005,140065,12,2,5060,1,15
0e3870a8,135005,140425,8,14,5420,1,15
0574a02d,337045,337615,13,5,570,1,15
0763eae0,539025,539685,0,7,660,1,15
03535242,1055,1445,2,3,390,15,4
0295e811,12105,12545,3,2,440,15,4
02056632,12275,12905,0,2,630,15,4
023f1760,12625,13265,1,2,640,15,4
024d6090,12195,13985,3,2,1790,15,4
02284650,12425,14345,0,2,1920,15,4
02ff7e52,34105,34505,1,2,400,15,4
01cdb8f1,34265,35235,0,1,970,15,4
02696ce3,34415,35595,1,2,1180,15,4
00069f23,34325,35965,3,0,1640,15,4
0099bf11,135005,135385,1,0,380,15,4
01a4ec53,135005,135745,3,1,740,15,4
00fdd6b0,135005,136105,0,0,1100,15,4
03a12891,135005,136465,1,3,1460,15,4
03b34d80,135005,137545,0,3,2540,15,4
003327e1,135005,137905,1,0,2900,15,4
01bf6d30,337055,337435,0,1,380,15,4
00a595b2,337215,338155,2,0,940,15,4
00f38863,337535,338515,3,0,980,15,4
03caf2a0,337385,338875,0,3,1490,15,4
03ff29c1,337635,339235,1,3,1600,15,4
03bb4a32,337875,339595,2,3,1720,15,4
01617733,337825,339955,3,1,2130,15,4
03b36cb2,438285,438705,2,3,420,15,4
0291ae63,438315,439065,3,2,750,15,4
032e2ed0,438515,439425,0,3,910,15,4
028fdf71,438215,439785,1,2,1570,15,4
03ae2b52,438705,440145,2,3,1440,15,4
01fb6650,438685,440515,0,1,1830,15,4
00e94df2,438765,440885,2,0,2120,15,4
0040cd01,539175,539625,1,0,450,15,4
02535241,1055,1495,1,2,440,15,4
0295e813,12045,12465,3,2,420,15,4
02056630,12185,12825,0,2,640,15,4
02f998d2,12325,13555,3,2,1230,15,4
02457ed0,12755,13915,0,2,1160,15,4
02724c61,12825,14275,1,2,1450,15,4
02de9f92,12775,14995,3,2,2220,15,4
023d2aa0,23105,23485,0,2,380,15,4
013870a1,34415,34865,2,1,450,15,4
03421201,34575,35585,0,3,1010,15,4
00f62633,34405,35945,1,0,1540,15,4
007d6530,34865,36305,2,0,1440,15,4
02845aa3,34625,36665,3,2,2040,15,4
030f3780,35575,37025,0,3,1450,15,4
03265b63,35795,37385,1,3,1590,15,4
02307621,36805,38465,0,2,1660,15,4
03c4bd93,36795,38825,1,3,2030,15,4
03c603b2,36455,39185,2,3,2730,15,4
009a18f2,36915,39545,3,0,2630,15,4
01fb6650,135005,135385,0,1,380,15,4
034569f1,135005,135745,1,3,740,15,4
00eed560,135005,136825,0,0,1820,15,4
012ed3d3,135005,137185,3,1,2180,15,4
015e2763,337065,337495,3,1,430,15,4
02b49ca3,438025,438435,3,2,410,15,4
0072db63,438085,438845,3,0,760,15,4
01807693,539355,539815,3,1,460,15,4
03ebab40,539405,540175,0,3,770,15,4
01535240,1045,1435,0,1,390,6,3
0095e811,12055,12465,1,0,410,6,3
0097b0d0,12175,12825,2,0,650,6,3
00f998d0,12255,13195,1,0,940,6,3
01752120,23055,23445,0,1,390,6,3
023e3010,23085,23835,0,2,750,6,3
017cd0d0,34045,34425,2,1,380,6,3
023f1760,34125,34795,1,2,670,6,3
01de9f90,34405,35155,2,1,750,6,3
02069f22,34795,35875,1,2,1080,6,3
023870a0,135005,135745,0,2,740,6,3
013b8132,135005,136105,2,1,1100,6,3
0030aca2,438195,438585,2,0,390,6,3
028bdf21,438365,438955,1,2,590,6,3
0114c3c2,438275,439315,2,1,1040,6,3
02a12890,539315,539865,0,2,550,6,3
02265b61,539455,540225,1,2,770,6,3
0253524a,1005,1515,10,2,510,16,16
0f284657,12415,12985,0,15,570,16,16
0fde9f93,12895,13355,2,15,460,16,16
0f3e301f,12515,13715,3,15,1200,16,16
0f056637,12175,14075,4,15,1900,16,16
0f95e81d,12085,14445,6,15,2360,16,16
0f3f176e,12645,14835,9,15,2190,16,16
0fdcd3d8,12715,15195,10,15,2480,16,16
0fdf78ce,12825,15605,14,15,2780,16,16
0f457edf,12725,16395,4,15,3670,16,16
0f752122,12435,16765,6,15,4330,16,16
06724c62,23075,23685,2,6,610,16,16
00069f22,23505,24335,2,0,830,16,16
06696ce9,34095,34605,14,6,510,16,16
08a4ec57,34225,34995,1,8,770,16,16
0a3870a3,34565,35355,2,10,790,16,16
0ce28bd6,34325,35715,3,12,1390,16,16
09b582d9,34415,36085,5,9,1670,16,16
03f6263a,34535,36445,6,3,1910,16,16
0807ae8f,34165,36805,7,8,2640,16,16
0e7d653e,35015,37165,8,14,2150,16,16
0172665f,34485,37525,9,1,3040,16,16
04c380df,34995,37885,10,4,2890,16,16
0e265b6b,36075,38245,11,14,2170,16,16
06ccc9d3,34815,38605,12,6,3790,16,16
07d60b71,37295,38965,13,7,1670,16,16
0e421207,34665,39335,15,14,4670,16,16
07845aa5,34765,39695,0,7,4930,16,16
049650a4,35465,40055,1,4,4590,16,16
023b8130,34925,40775,3,2,5850,16,16
08b22806,34605,41495,5,8,6890,16,16
0b513ae0,36245,41855,6,11,5610,16,16
063327e7,36745,42215,7,6,5470,16,16
06c4bd90,36865,42575,8,6,5710,16,16
07d945c9,37425,42945,10,7,5520,16,16
001559fa,37075,43305,11,0,6230,16,16
08e37890,37545,44055,15,8,6510,16,16
0e99bf1e,36835,44415,0,14,7580,16,16
0850deb0,35985,44775,1,8,8790,16,16
0e30762a,36965,45135,2,14,8170,16,16
0a24185c,36555,45525,5,10,8970,16,16
075fb4c5,37005,45885,6,7,8880,16,16
01bc05b7,37515,46605,8,1,9090,16,16
0d7ca59b,135005,135745,11,13,740,16,16
0f0042d9,135005,136105,9,15,1100,16,16
05779faf,135005,136465,15,5,1460,16,16
04d2b798,135005,136825,8,4,1820,16,16
0d0168aa,135005,137185,10,13,2180,16,16
07f41134,135005,137545,4,7,2540,16,16
039a4e4f,135005,137905,15,3,2900,16,16
03e4592f,135005,138265,15,3,3260,16,16
01c225b2,135005,138625,2,1,3620,16,16
0a23a042,135005,138985,2,10,3980,16,16
00f90b94,135005,139345,4,0,4340,16,16
0133ed01,135005,140065,1,1,5060,16,16
0c488781,135005,140425,1,12,5420,16,16
0d90d44c,135005,140785,12,13,5780,16,16
0565d934,135005,141145,4,5,6140,16,16
0918d885,135005,141505,5,9,6500,16,16
03199ba3,135005,141865,3,3,6860,16,16
0ad80db8,135005,142225,8,10,7220,16,16
08c42734,135005,142585,4,8,7580,16,16
074e3c8b,135005,142945,11,7,7940,16,16
0ee5ebda,135005,143305,10,14,8300,16,16
00fb4ae0,135005,143665,0,0,8660,16,16
08fe9533,135005,144025,3,8,9020,16,16
048e4a7e,135005,144745,14,4,9740,16,16
07faa6fe,135005,145105,14,7,10100,16,16
0014ee1d,135005,145465,13,0,10460,16,16
0bbf6d34,135005,145825,4,11,10820,16,16
05292b38,135005,146185,8,5,11180,16,16
0490b2ab,135005,146545,11,4,11540,16,16
0b0e5b64,337045,337435,4,11,390,16,16
038f7556,337215,337805,6,3,590,16,16
03a3a208,337285,338175,8,3,890,16,16
05fc2f79,337055,338535,9,5,1480,16,16
09b12a0b,337355,339255,11,9,1900,16,16
0f8585ce,337195,339645,14,15,2450,16,16
03009728,337405,340175,8,3,2770,16,16
000994b7,438205,438705,7,0,500,16,16
0e064fd9,438325,439075,9,14,750,16,16
063da9ec,438305,439465,12,6,1160,16,16
02c42790,438255,440205,0,2,1950,16,16
0ccbc957,539315,539805,7,12,490,16,16
04535242,1095,1485,2,4,390,8,9
0895e816,12105,12645,1,8,540,8,9
004d6095,23065,23545,5,0,480,8,9
013e3015,23315,24055,5,1,740,8,9
05457ed3,34175,34815,1,5,640,8,9
007cd0d1,34065,35185,3,0,1120,8,9
00784c55,34405,35545,4,0,1140,8,9
00dcd3d2,34115,35905,5,0,1790,8,9
05df78c2,34275,36265,6,5,1990,8,9
04724c64,34385,36985,8,4,2600,8,9
01de9f90,34345,37345,0,1,3000,8,9
023d2aa7,34455,37705,1,2,3250,8,9
05696ce5,34915,38065,2,5,3150,8,9
04cdb8f3,34785,38425,3,4,3640,8,9
07e28bd3,35165,38785,4,7,3620,8,9
07845aa3,35715,39145,5,7,3430,8,9
00fdd6b8,36115,39505,6,0,3390,8,9
0162ad53,36185,39865,7,1,3680,8,9
048495c8,35115,40225,8,4,5110,8,9
0163eae8,36295,40585,0,1,4290,8,9
0474a026,36235,41315,3,4,5080,8,9
017d6534,36045,41675,4,1,5630,8,9
035816d0,135005,135385,0,3,380,8,9
002ae3f3,135005,135745,3,0,740,8,9
03617735,135005,136105,5,3,1100,8,9
04449236,135005,136465,6,4,1460,8,9
060f3784,135005,136825,4,6,1820,8,9
0379a0b8,135005,137185,8,3,2180,8,9
034569f6,135005,137905,6,3,2900,8,9
0012f961,135005,138265,1,0,3260,8,9
03a595b4,135005,138625,4,3,3620,8,9
06599fa5,135005,138985,5,6,3980,8,9
048fdf71,135005,139345,1,4,4340,8,9
06502bc3,135005,140065,3,6,5060,8,9
053327e5,135005,140425,5,5,5420,8,9
01da9f87,135005,140785,7,1,5780,8,9
08ec0d71,135005,141145,1,8,6140,8,9
08cdb125,135005,141505,5,8,6500,8,9
03e94df0,337055,337535,0,3,480,8,9
0290b2a1,337325,337895,1,2,570,8,9
0340cd02,337285,338255,2,3,970,8,9
03119794,337125,338625,4,3,1500,8,9
071ff445,337185,338985,5,7,1800,8,9
056adab8,337415,339715,8,5,2300,8,9
07fcf0e1,337515,340085,1,7,2570,8,9
079e94e3,539315,539725,3,7,410,8,9
05535241,1065,1455,1,5,390,7,6
0295e811,12025,12405,4,2,380,7,6
02284652,12205,12765,5,2,560,7,6
02f998d2,12175,13515,3,2,1340,7,6
0297b0d5,12155,13875,4,2,1720,7,6
05457ed1,23345,23915,1,5,570,7,6
05df78c0,34065,34525,4,5,460,7,6
03ff7e53,34455,34885,5,3,430,7,6
023d2aa4,34355,35605,1,2,1250,7,6
00de9f95,34165,35965,2,0,1800,7,6
05724c64,34185,36325,3,5,2140,7,6
02a4ec55,34805,37045,5,2,2240,7,6
013870a1,35155,37405,0,1,2250,7,6
04f62631,35055,37775,2,4,2720,7,6
0107ae80,34765,38135,3,1,3370,7,6
01e28bd5,34965,38495,4,1,3530,7,6
02726651,35035,38855,5,2,3820,7,6
050f3781,135005,135385,1,5,380,7,6
00fdd2a1,135005,135745,1,0,740,7,6
013327e2,135005,136105,2,1,1100,7,6
03421203,135005,136465,3,3,1460,7,6
00fdd6b1,135005,136825,1,0,1820,7,6
049650a1,135005,137185,1,4,2180,7,6
05513ae0,135005,137545,0,5,2540,7,6
02c603b1,135005,137905,1,2,2900,7,6
025fb4c3,135005,138265,3,2,3260,7,6
04572cf4,135005,138985,4,4,3980,7,6
02d945c0,337045,337475,0,2,430,7,6
00e32491,337205,337835,1,0,630,7,6
00bc05b3,337055,338205,3,0,1150,7,6
0533ed01,337295,338615,1,5,1320,7,6
047fc513,337425,338985,3,4,1560,7,6
04ccec23,438145,438555,3,4,410,7,6
0525a774,438285,438915,4,5,630,7,6
047edc80,438205,439285,0,4,1080,7,6
012ed3d0,438375,439735,0,1,1360,7,6
005816d2,539095,539495,2,0,400,7,6
05535242,1075,1475,2,5,400,4,9
0895e811,12035,12505,3,8,470,4,9
084d6093,12125,12875,5,8,750,4,9
00056634,23095,23525,4,0,430,4,9
0297b0d8,34025,34465,1,2,440,4,9
01df78c0,34415,34825,2,1,410,4,9
08752120,34155,35185,3,8,1030,4,9
03f998d5,34035,35545,4,3,1510,4,9
017cd0d6,34275,35905,5,1,1630,4,9
048495c5,35125,36265,6,4,1140,4,9
01069f23,34895,36625,7,1,1730,4,9
02dcd3d1,34385,36985,8,2,2600,4,9
013e3011,34225,37345,0,1,3120,4,9
06696ce6,34905,37705,1,6,2800,4,9
05784c52,34515,38065,2,5,3550,4,9
04cdb8f6,34815,38425,3,4,3610,4,9
003d2aa8,34565,38785,4,0,4220,4,9
083b8132,35735,39145,5,8,3410,4,9
07572cf5,36095,39505,6,7,3410,4,9
0803e963,35725,39865,7,8,4140,4,9
0163eae7,36035,40225,8,1,4190,4,9
05726653,35315,40585,0,5,5270,4,9
0574a021,36005,40945,1,5,4940,4,9
087d6537,35855,41305,2,8,5450,4,9
04cdb8f6,34815,41665,3,4,6850,4,9
003d2aa8,34565,42025,4,0,7460,4,9
083b8132,35735,42385,5,8,6650,4,9
08265b60,36845,42755,7,8,5910,4,9
07488781,135005,136105,1,7,1100,4,9
016333a0,135005,136465,0,1,1460,4,9
049a18f3,135005,137185,3,4,2180,4,9
08d945c1,135005,137545,1,8,2540,4,9
08caf2a1,337095,337555,1,8,460,4,9
07563582,337195,337915,2,7,720,4,9
06ff29c0,539145,539675,0,6,530,4,9
00535243,1085,1495,3,0,410,12,6
014d6095,12115,12835,3,1,720,12,6
0197b0d0,12235,13195,4,1,960,12,6
01056632,12185,13555,5,1,1370,12,6
01f998d1,12285,14005,5,1,1720,12,6
04284652,23095,23485,2,4,390,12,6
01dcd3d2,23445,23935,2,1,490,12,6
0414c3c2,135005,135385,2,4,380,12,6
035fb4c1,135005,136105,1,3,1100,12,6
01df78c1,135005,136465,1,1,1460,12,6
05a4ec55,135005,136825,5,5,1820,12,6
05513ae3,135005,137545,3,5,2540,12,6
02c4bd94,135005,137905,4,2,2900,12,6
0433ed05,135005,138265,5,4,3260,12,6
04696ce0,135005,138625,0,4,3620,12,6
05ccc9d2,135005,138985,2,5,3980,12,6
009650a3,135005,139345,3,0,4340,12,6
047edc85,337065,337455,5,4,390,12,6
0125a773,337155,338205,3,1,1050,12,6
035007e4,337285,338565,4,3,1280,12,6
0192f853,438295,438675,3,1,380,12,6
03488780,438365,439065,0,3,700,12,6
02bf6d31,438255,439425,1,2,1170,12,6
04caf2a3,539115,539505,3,4,390,12,6
04bb4a33,539595,540135,3,4,540,12,6
019a82f4,539645,540495,4,1,850,12,6
03617730,539535,541215,0,3,1680,12,6
0253524a,1005,1435,10,2,430,10,11
0995e815,12105,12525,3,9,420,10,11
09056631,12225,12955,8,9,730,10,11
094d6093,12125,13365,1,9,1240,10,11
0897b0d2,23065,23505,2,8,440,10,11
09284652,23165,24055,2,9,890,10,11
00ccec25,135005,135745,5,0,740,10,11
0192f85a,135005,136105,10,1,1100,10,11
00599fa5,135005,136465,5,0,1460,10,11
043e3012,135005,136825,2,4,1820,10,11
07ff7e5a,135005,137185,10,7,2180,10,11
00b582d9,135005,137545,9,0,2540,10,11
09c380d0,135005,137905,0,9,2900,10,11
0130acaa,135005,138265,10,1,3260,10,11
08bf9c6a,135005,138625,10,8,3620,10,11
0112f961,135005,139345,1,1,4340,10,11
0328f1f6,135005,139705,6,3,4700,10,11
04a0c8e1,135005,140065,1,4,5060,10,11
088fdf75,135005,140425,5,8,5420,10,11
07784c58,135005,140785,8,7,5780,10,11
078495c4,135005,141145,4,7,6140,10,11
0544923a,135005,141865,10,5,6860,10,11
0050deb5,135005,142225,5,0,7220,10,11
08c603b1,135005,142585,1,8,7580,10,11
08da9f85,135005,142945,5,8,7940,10,11
07fb6658,337145,337525,8,7,380,10,11
0836cda1,337105,337935,1,8,830,10,11
07ae2b55,438015,438465,5,7,450,10,11
03e94df6,438075,438825,6,3,750,10,11
0190b2a2,539165,540045,2,1,880,10,11
08102c33,539655,540405,3,8,750,10,11
05ebc9a4,539495,540765,4,5,1270,10,11
0b53524e,1015,1595,14,11,580,9,16
0b4d609a,12085,12915,13,11,830,9,16
0b95e817,12055,13385,4,11,1330,9,16
0b97b0d5,12195,13775,7,11,1580,9,16
0bf998dd,12285,14425,7,11,2140,9,16
0d284655,23015,23425,5,13,410,9,16
07752125,23115,24075,5,7,960,9,16
03df78c4,34415,34995,1,3,580,9,16
043e3016,34075,35355,2,4,1280,9,16
0a3d2aac,34685,35715,3,10,1030,9,16
01cdb8fa,34955,36085,5,1,1130,9,16
04e28bd4,35315,36445,6,4,1130,9,16
06dcd3d1,34255,36805,7,6,2550,9,16
0627277c,34825,37165,8,6,2340,9,16
02784c57,34625,37525,9,2,2900,9,16
0c2d6121,34915,37885,10,12,2970,9,16
08724c6c,34545,38245,11,8,3700,9,16
0972665f,35485,38605,12,9,3120,9,16
068bdf29,36745,38965,13,6,2220,9,16
01457ed8,34315,39325,14,1,5010,9,16
0274a027,36165,40045,0,2,3880,9,16
0d07ae84,35165,40405,1,13,5240,9,16
0cff7e50,34785,40765,2,12,5980,9,16
00ccc9da,35765,41125,3,0,5360,9,16
033870a4,35595,41855,6,3,6260,9,16
0f30aca8,36585,42215,7,15,5630,9,16
0b449235,36485,42575,8,11,6090,9,16
049650a7,36495,42935,9,4,6440,9,16
0663eae2,36225,43295,10,6,7070,9,16
0c14c3cd,36655,43655,11,12,7000,9,16
09572cf1,36395,44015,12,9,7620,9,16
0503e968,35835,44385,14,5,8550,9,16
0a421209,35685,44775,1,10,9090,9,16
04bc05b5,135005,135385,5,4,380,9,16
087edc84,135005,135745,4,8,740,9,16
01ff29c6,135005,136465,6,1,1460,9,16
0ee94df9,135005,137185,9,14,2180,9,16
0bf72fdd,135005,137545,13,11,2540,9,16
0dbc4b82,135005,137905,2,13,2900,9,16
0e5e276b,135005,138265,11,14,3260,9,16
077901c2,135005,138985,2,7,3980,9,16
02779fa6,135005,139345,6,2,4340,9,16
059837d8,135005,139705,8,5,4700,9,16
05b34d8e,135005,140065,14,5,5060,9,16
0979a0b8,135005,140425,8,9,5420,9,16
00c4bd9f,135005,140785,15,0,5780,9,16
0ed7f0cb,135005,141145,11,14,6140,9,16
0d28f1f0,135005,141505,0,13,6500,9,16
0ef38869,135005,141865,9,14,6860,9,16
0a8565fa,135005,142225,10,10,7220,9,16
08fb6652,135005,142585,2,8,7580,9,16
03daddcf,135005,142945,15,3,7940,9,16
05e8a38d,135005,143305,13,5,8300,9,16
000b7d9c,135005,143665,12,0,8660,9,16
0e807695,135005,144025,5,14,9020,9,16
0a199ba8,135005,144745,8,10,9740,9,16
0859f269,135005,145105,9,8,10100,9,16
0ed2b795,135005,145465,5,14,10460,9,16
0c502bc2,135005,145825,2,12,10820,9,16
0aa4b15e,135005,146185,14,10,11180,9,16
0d4569f6,135005,146545,6,13,11540,9,16
06a8a29f,337045,337655,15,6,610,9,16
09c42731,539205,539895,1,9,690,9,16
04535243,1075,1695,3,4,620,14,16
074d6097,12185,12665,1,7,480,14,16
0795e81c,12105,13095,6,7,990,14,16
03056631,23045,23665,1,3,620,14,16
0adf78c1,23615,24315,1,10,700,14,16
08784c51,23845,24965,1,8,1120,14,16
0c3d2aa4,34045,34425,5,12,380,14,16
08cdb8ff,34185,35165,9,8,980,14,16
01272775,34105,35555,12,1,1450,14,16
0f2d6125,34135,35915,13,15,1780,14,16
03696ce4,34345,36275,14,3,1930,14,16
0f07ae89,34425,36645,0,15,2220,14,16
04069f25,34275,37015,2,4,2740,14,16
06e28bd6,34615,37385,4,6,2770,14,16
0a726652,34735,37875,12,10,3140,14,16
098495c0,34525,38245,14,9,3720,14,16
0ab582da,34675,38655,2,10,3980,14,16
0a5fb4cd,135005,135385,13,10,380,14,16
06b4b49d,135005,136105,13,6,1100,14,16
0290d445,135005,136465,5,2,1460,14,16
0fbc4b8b,135005,137185,11,15,2180,14,16
0749b041,135005,137545,1,7,2540,14,16
0656786d,135005,137905,13,6,2900,14,16
09921c01,135005,138265,1,9,3260,14,16
08578a1d,135005,138625,13,8,3620,14,16
0ab80a84,135005,138985,4,10,3980,14,16
04f41132,135005,139345,2,4,4340,14,16
06e5ebd7,135005,139705,7,6,4700,14,16
02572cfa,135005,140425,10,2,5420,14,16
05513aef,135005,140785,15,5,5780,14,16
047fc514,135005,141145,4,4,6140,14,16
06488784,135005,141505,4,6,6500,14,16
0c292b34,135005,141865,4,12,6860,14,16
011ff443,135005,142225,3,1,7220,14,16
04e8a389,135005,142585,9,4,7580,14,16
0637195f,135005,142945,15,6,7940,14,16
08e07297,135005,143305,7,8,8300,14,16
0076137c,135005,143665,12,0,8660,14,16
04cee61e,135005,144025,14,4,9020,14,16
040168a4,135005,144385,4,4,9380,14,16
034e3c83,135005,144745,3,3,9740,14,16
0a794f25,135005,145105,5,10,10100,14,16
0114875a,135005,145465,10,1,10460,14,16
0c63eae7,135005,145825,7,12,10820,14,16
00265b67,135005,146185,7,0,11180,14,16
0cc4bd90,135005,146545,0,12,11540,14,16
08dbf6b2,337035,337715,2,8,680,14,16
0fe45924,438135,438515,4,15,380,14,16
0e4df285,438235,438875,5,14,640,14,16
0afb4aec,438065,439345,12,10,1280,14,16
083819bf,438075,439735,15,8,1660,14,16
044e02d5,438295,440185,5,4,1890,14,16
099b0c22,539115,539525,2,9,410,14,16
0ccf61ee,539135,540095,14,12,960,14,16
0495e811,12105,12505,2,4,400,14,5
04056634,12235,12865,3,4,630,14,5
04f998d3,12355,13585,0,4,1230,14,5
0497b0d4,12295,13945,1,4,1650,14,5
04752120,12505,14305,2,4,1800,14,5
043e3012,12515,15035,0,4,2520,14,5
04dcd3d0,12575,15405,2,4,2830,14,5
01457ed3,23045,23425,3,1,380,14,5
023d2aa3,23365,23855,3,2,490,14,5
