paquete,tiempo_envio,tiempo_recibido,emisor,receptor,latencia,p_fifo
000218113,145,1965,15,3,1820,8
000121c7f,145,1995,7,1,1850,8
000218113,145,2065,15,3,1920,8
000121c7f,145,2095,7,1,1950,8
0000d2e3c,145,215,3,2,70,2
0000d2e3c,145,365,3,2,220,2
0000d2e3c,145,465,3,2,320,2
0000d2e3c,145,565,3,2,420,2
0000d2e3c,145,665,3,2,520,2
0000d2e3c,145,765,3,2,620,2
0000d2e3c,145,865,3,2,720,2
0000d2e3c,145,965,3,2,820,2
0000d2e3c,145,1065,3,2,920,2
0000d2e3c,145,1165,3,2,1020,2
0000d2e3c,145,1265,3,2,1120,2
0000d2e3c,145,1365,3,2,1220,2
0000d2e3c,145,1465,3,2,1320,2
0000d2e3c,145,1565,3,2,1420,2
0000d2e3c,145,1665,3,2,1520,2
0000d2e3c,145,1765,3,2,1620,2
0000d2e3c,145,1865,3,2,1720,2
0000d2e3c,145,1965,3,2,1820,2
0000d2e3c,145,2065,3,2,1920,2
000094b53,145,315,14,3,170,3
00002f251,145,395,8,0,250,3
000094b53,145,475,14,3,330,3
000094b53,145,575,14,3,430,3
00002f251,145,585,8,0,440,3
000094b53,145,675,14,3,530,3
00002f251,145,685,8,0,540,3
000094b53,145,775,14,3,630,3
00002f251,145,785,8,0,640,3
000094b53,145,875,14,3,730,3
00002f251,145,885,8,0,740,3
000094b53,145,975,14,3,830,3
00002f251,145,985,8,0,840,3
000094b53,145,1075,14,3,930,3
00002f251,145,1085,8,0,940,3
000094b53,145,1175,14,3,1030,3
00002f251,145,1185,8,0,1040,3
000094b53,145,1275,14,3,1130,3
00002f251,145,1285,8,0,1140,3
000094b53,145,1375,14,3,1230,3
00002f251,145,1385,8,0,1240,3
000094b53,145,1475,14,3,1330,3
00002f251,145,1485,8,0,1340,3
000094b53,145,1575,14,3,1430,3
00002f251,145,1585,8,0,1440,3
000094b53,145,1675,14,3,1530,3
00002f251,145,1685,8,0,1540,3
000094b53,145,1775,14,3,1630,3
00002f251,145,1785,8,0,1640,3
000094b53,145,1875,14,3,1730,3
00002f251,145,1885,8,0,1740,3
000094b53,145,1975,14,3,1830,3
00002f251,145,1985,8,0,1840,3
000094b53,145,2075,14,3,1930,3
00002f251,145,2085,8,0,1940,3
0000f2f535,145,555,8,2,410,10
0000f2f535,145,765,8,2,620,10
0000f2f535,145,865,8,2,720,10
0000f2f535,145,965,8,2,820,10
0000f2f535,145,1065,8,2,920,10
0000f2f535,145,1165,8,2,1020,10
0000f2f535,145,1265,8,2,1120,10
0000f2f535,145,1365,8,2,1220,10
0000f2f535,145,1465,8,2,1320,10
0000f2f535,145,1565,8,2,1420,10
0000f2f535,145,1665,8,2,1520,10
0000f2f535,145,1765,8,2,1620,10
0000f2f535,145,1865,8,2,1720,10
0000f2f535,145,1965,8,2,1820,10
0000f2f535,145,2065,8,2,1920,10
000034e598,155,225,1,0,70,12
000034e598,155,375,1,0,220,12
000034e598,155,475,1,0,320,12
000034e598,155,575,1,0,420,12
000034e598,155,675,1,0,520,12
000034e598,155,775,1,0,620,12
000034e598,155,875,1,0,720,12
000034e598,155,975,1,0,820,12
000034e598,155,1075,1,0,920,12
000034e598,155,1175,1,0,1020,12
000034e598,155,1275,1,0,1120,12
000034e598,155,1375,1,0,1220,12
000034e598,155,1475,1,0,1320,12
000034e598,155,1575,1,0,1420,12
000034e598,155,1675,1,0,1520,12
000034e598,155,1775,1,0,1620,12
000034e598,155,1875,1,0,1720,12
000034e598,155,1975,1,0,1820,12
000034e598,155,2075,1,0,1920,12
0000288c53,145,315,12,0,170,7
00005ee8b4,145,395,10,1,250,7
00004f345b,145,435,9,1,290,7
00006260b0,145,445,14,2,300,7
00004f345b,145,515,9,1,370,7
00004f345b,145,635,9,1,490,7
0000288c53,145,685,12,0,540,7
00004f345b,145,715,9,1,570,7
00006260b0,145,725,14,2,580,7
00005ee8b4,145,795,10,1,650,7
00004f345b,145,835,9,1,690,7
00004f345b,145,915,9,1,770,7
00004f345b,145,1035,9,1,890,7
00006260b0,145,1045,14,2,900,7
0000288c53,145,1085,12,0,940,7
00004f345b,145,1115,9,1,970,7
00005ee8b4,145,1195,10,1,1050,7
00004f345b,145,1235,9,1,1090,7
00004f345b,145,1315,9,1,1170,7
00006260b0,145,1325,14,2,1180,7
00004f345b,145,1435,9,1,1290,7
0000288c53,145,1485,12,0,1340,7
00004f345b,145,1515,9,1,1370,7
00004f345b,145,1635,9,1,1490,7
0000288c53,145,1685,12,0,1540,7
00004f345b,145,1715,9,1,1570,7
00005ee8b4,145,1795,10,1,1650,7
00004f345b,145,1835,9,1,1690,7
00004f345b,145,1915,9,1,1770,7
00005ee8b4,145,1995,10,1,1850,7
00004f345b,145,2035,9,1,1890,7
00004f345b,145,2115,9,1,1970,7
0001b2d50a,145,205,1,0,60,2
0001b2d50a,145,325,1,0,180,2
000272474d,155,355,4,1,200,2
0001b2d50a,145,445,1,0,300,2
000204a19c,155,455,10,1,300,2
000272474d,155,495,4,1,340,2
0001b2d50a,145,565,1,0,420,2
000204a19c,155,675,10,1,520,2
0001b2d50a,145,685,1,0,540,2
000204a19c,155,775,10,1,620,2
0001b2d50a,145,805,1,0,660,2
000204a19c,155,875,10,1,720,2
0001b2d50a,145,925,1,0,780,2
000204a19c,155,975,10,1,820,2
0001b2d50a,145,1045,1,0,900,2
000204a19c,155,1075,10,1,920,2
0001b2d50a,145,1165,1,0,1020,2
000204a19c,155,1175,10,1,1020,2
000204a19c,155,1275,10,1,1120,2
0001b2d50a,145,1285,1,0,1140,2
000204a19c,155,1375,10,1,1220,2
0001b2d50a,145,1405,1,0,1260,2
000204a19c,155,1475,10,1,1320,2
0001b2d50a,145,1525,1,0,1380,2
000204a19c,155,1575,10,1,1420,2
0001b2d50a,145,1645,1,0,1500,2
000204a19c,155,1675,10,1,1520,2
0001b2d50a,145,1765,1,0,1620,2
000204a19c,155,1775,10,1,1620,2
000204a19c,155,1875,10,1,1720,2
0001b2d50a,145,1885,1,0,1740,2
000204a19c,155,1975,10,1,1820,2
0001b2d50a,145,2005,1,0,1860,2
000204a19c,155,2075,10,1,1920,2
0001b2d50a,145,2125,1,0,1980,2
0000b9183b,145,215,2,1,70,16
000093352d,145,285,4,1,140,16
0001294fae,155,295,14,3,140,16
0000b9183b,145,345,2,1,200,16
00005e401f,145,375,13,0,230,16
0001294fae,155,445,14,3,290,16
0000b9183b,145,465,2,1,320,16
000093352d,145,525,4,1,380,16
0001294fae,155,565,14,3,410,16
0000b9183b,145,585,2,1,440,16
000093352d,145,645,4,1,500,16
0001294fae,155,685,14,3,530,16
00005e401f,145,695,13,0,550,16
0000b9183b,145,705,2,1,560,16
000093352d,145,765,4,1,620,16
0001294fae,155,805,14,3,650,16
00005e401f,145,815,13,0,670,16
0000b9183b,145,825,2,1,680,16
000093352d,145,885,4,1,740,16
0001294fae,155,925,14,3,770,16
00005e401f,145,935,13,0,790,16
0000b9183b,145,945,2,1,800,16
000093352d,145,1005,4,1,860,16
0001294fae,155,1045,14,3,890,16
00005e401f,145,1055,13,0,910,16
0000b9183b,145,1065,2,1,920,16
000093352d,145,1125,4,1,980,16
0001294fae,155,1165,14,3,1010,16
00005e401f,145,1175,13,0,1030,16
0000b9183b,145,1185,2,1,1040,16
000093352d,145,1245,4,1,1100,16
0001294fae,155,1285,14,3,1130,16
00005e401f,145,1295,13,0,1150,16
0000b9183b,145,1305,2,1,1160,16
000093352d,145,1365,4,1,1220,16
0001294fae,155,1405,14,3,1250,16
00005e401f,145,1415,13,0,1270,16
0000b9183b,145,1425,2,1,1280,16
000093352d,145,1485,4,1,1340,16
0001294fae,155,1525,14,3,1370,16
00005e401f,145,1535,13,0,1390,16
0000b9183b,145,1545,2,1,1400,16
000093352d,145,1605,4,1,1460,16
0001294fae,155,1645,14,3,1490,16
00005e401f,145,1655,13,0,1510,16
0000b9183b,145,1665,2,1,1520,16
000093352d,145,1725,4,1,1580,16
0001294fae,155,1765,14,3,1610,16
00005e401f,145,1775,13,0,1630,16
0000b9183b,145,1785,2,1,1640,16
000093352d,145,1845,4,1,1700,16
0001294fae,155,1885,14,3,1730,16
00005e401f,145,1895,13,0,1750,16
0000b9183b,145,1905,2,1,1760,16
000093352d,145,1965,4,1,1820,16
0001294fae,155,2005,14,3,1850,16
00005e401f,145,2015,13,0,1870,16
0000b9183b,145,2025,2,1,1880,16
000093352d,145,2085,4,1,1940,16
0001294fae,155,2125,14,3,1970,16
00005e401f,145,2135,13,0,1990,16
0000b9183b,145,2145,2,1,2000,16
000157fb,145,435,14,0,290,15
000157fb,145,745,14,0,600,15
000157fb,145,845,14,0,700,15
000157fb,145,945,14,0,800,15
000157fb,145,1045,14,0,900,15
000157fb,145,1145,14,0,1000,15
000157fb,145,1245,14,0,1100,15
000157fb,145,1345,14,0,1200,15
000157fb,145,1445,14,0,1300,15
000157fb,145,1545,14,0,1400,15
000157fb,145,1645,14,0,1500,15
000157fb,145,1745,14,0,1600,15
000157fb,145,1845,14,0,1700,15
000157fb,145,1945,14,0,1800,15
000157fb,145,2045,14,0,1900,15
000157fb,145,2145,14,0,2000,15
0000cac84,145,215,4,0,70,8
0000b68c5,145,275,1,0,130,8
0000cac84,145,335,4,0,190,8
0000b68c5,145,395,1,0,250,8
0000cac84,145,455,4,0,310,8
0000b68c5,145,515,1,0,370,8
0000cac84,145,575,4,0,430,8
0000b68c5,145,635,1,0,490,8
0000cac84,145,695,4,0,550,8
0000b68c5,145,755,1,0,610,8
0000cac84,145,815,4,0,670,8
0000b68c5,145,875,1,0,730,8
0000cac84,145,935,4,0,790,8
0000b68c5,145,995,1,0,850,8
0000cac84,145,1055,4,0,910,8
0000b68c5,145,1115,1,0,970,8
0000cac84,145,1175,4,0,1030,8
0000b68c5,145,1235,1,0,1090,8
0000cac84,145,1295,4,0,1150,8
0000b68c5,145,1355,1,0,1210,8
0000cac84,145,1415,4,0,1270,8
0000b68c5,145,1475,1,0,1330,8
0000cac84,145,1535,4,0,1390,8
0000b68c5,145,1595,1,0,1450,8
0000cac84,145,1655,4,0,1510,8
0000b68c5,145,1715,1,0,1570,8
0000cac84,145,1775,4,0,1630,8
0000b68c5,145,1835,1,0,1690,8
0000cac84,145,1895,4,0,1750,8
0000b68c5,145,1955,1,0,1810,8
0000cac84,145,2015,4,0,1870,8
0000b68c5,145,2075,1,0,1930,8
0000cac84,145,2135,4,0,1990,8
00004d414,145,315,12,0,170,12
00008b9c7,145,315,13,1,170,12
00005b83a,145,485,11,0,340,12
00004d414,145,565,12,0,420,12
00008b9c7,145,585,13,1,440,12
00004d414,145,665,12,0,520,12
00004d414,145,765,12,0,620,12
00008b9c7,145,785,13,1,640,12
00005b83a,145,805,11,0,660,12
00005b83a,145,885,11,0,740,12
00004d414,145,965,12,0,820,12
00008b9c7,145,985,13,1,840,12
00005b83a,145,1005,11,0,860,12
00005b83a,145,1085,11,0,940,12
00004d414,145,1165,12,0,1020,12
00008b9c7,145,1185,13,1,1040,12
00005b83a,145,1205,11,0,1060,12
00005b83a,145,1285,11,0,1140,12
00004d414,145,1365,12,0,1220,12
00008b9c7,145,1385,13,1,1240,12
00005b83a,145,1405,11,0,1260,12
00005b83a,145,1485,11,0,1340,12
00004d414,145,1565,12,0,1420,12
00008b9c7,145,1585,13,1,1440,12
00005b83a,145,1605,11,0,1460,12
00005b83a,145,1685,11,0,1540,12
00004d414,145,1765,12,0,1620,12
00008b9c7,145,1785,13,1,1640,12
00005b83a,145,1805,11,0,1660,12
00005b83a,145,1885,11,0,1740,12
00004d414,145,1965,12,0,1820,12
00008b9c7,145,1985,13,1,1840,12
00005b83a,145,2005,11,0,1860,12
00005b83a,145,2085,11,0,1940,12
